country_key,country_name,country_code,confederation
167,Serbia,SRB,UEFA
168,Serbia and Montenegro,SCG,UEFA
169,Seychelles,SEY,CAF
170,Sierra Leone,SLE,CAF
171,Singapore,SGP,AFC
172,Slovakia,SVK,UEFA
173,Slovenia,SVN,UEFA
174,Solomon Islands,SOL,OFC
175,Somalia,SOM,CAF
176,South Africa,RSA,CAF
177,South Sudan,SSD,CAF
178,Spain,ESP,UEFA
179,Sri Lanka,SRI,AFC
180,St Kitts and Nevis,SKN,CONCACAF
181,St Lucia,LCA,CONCACAF
182,St Vincent and the Grenadines,VIN,CONCACAF
183,Sudan,SDN,CAF
184,Suriname,SUR,CONCACAF
185,Sweden,SWE,UEFA
186,Switzerland,SUI,UEFA
187,Syria,SYR,AFC
188,Tahiti,TAH,OFC
189,Tajikistan,TJK,AFC
190,Tanzania,TAN,CAF
191,Thailand,THA,AFC
192,The Gambia,GAM,CAF
193,Timor-Leste,TLS,AFC
194,Togo,TOG,CAF
195,Tonga,TGA,OFC
196,Trinidad and Tobago,TRI,CONCACAF
197,Tunisia,TUN,CAF
198,Turkey,TUR,UEFA
199,Turkmenistan,TKM,AFC
200,Turks and Caicos Islands,TCA,CONCACAF
201,US Virgin Islands,VIR,CONCACAF
202,USA,USA,CONCACAF
203,Uganda,UGA,CAF
204,Ukraine,UKR,UEFA
205,United Arab Emirates,UAE,AFC
206,Uruguay,URU,CONMEBOL
207,Uzbekistan,UZB,AFC
208,Vanuatu,VAN,OFC
209,Venezuela,VEN,CONMEBOL
210,Vietnam,VIE,AFC
211,Wales,WAL,UEFA
212,Yemen,YEM,AFC
213,Yugoslavia,YUG,UEFA
214,Zaire,ZAI,CAF
215,Zambia,ZAM,CAF
216,Zimbabwe,ZIM,CAF
